#Create Time :2023-04-12 16:23:08.172466 
87154.132227 9.134059 0.826157 -4.011449
87154.137018 9.121655 0.802272 -4.016683
87154.142206 9.119656 0.839999 -4.033798
87154.147089 9.110195 0.863747 -4.029832
87154.152002 9.098104 0.845475 -4.013235
87154.156946 9.091113 0.789836 -3.995782
87154.161890 9.099348 0.755006 -3.961019
87154.166803 9.070935 0.750487 -3.963057
87154.171747 9.089940 0.730058 -3.914581
87154.176691 9.089588 0.749245 -3.889194
87154.181635 9.113069 0.736992 -3.883120
87154.186579 9.129005 0.718990 -3.852598
87154.191523 9.140372 0.719857 -3.865714
87154.196436 9.130726 0.778950 -3.840860
87154.201380 9.113486 0.753224 -3.783767
87154.206324 9.159796 0.752769 -3.782101
87154.211267 9.141265 0.759113 -3.783692
87154.216181 9.128122 0.755991 -3.786168
87154.221125 9.139010 0.745393 -3.791002
87154.226038 9.152073 0.717304 -3.785707
87154.231195 9.147358 0.748305 -3.772432
87154.236017 9.122978 0.735840 -3.782894
87154.241022 9.148352 0.744744 -3.796311
87154.245874 9.175900 0.728894 -3.823837
87154.250757 9.160973 0.749889 -3.816229
87154.255671 9.119506 0.741168 -3.861149
87154.260645 9.108949 0.741014 -3.906642
87154.265589 9.105037 0.748889 -3.890984
87154.270533 9.146281 0.749590 -3.906427
87154.275476 9.158167 0.749385 -3.940301
87154.280420 9.126508 0.748071 -3.959235
87154.285364 9.136507 0.798882 -3.979440
87154.290308 9.147478 0.835143 -3.997269
87154.295252 9.135273 0.824391 -4.035411
87154.300165 9.129296 0.810001 -4.025597
87154.305109 9.166917 0.821061 -4.015030
87154.310053 9.140977 0.818606 -4.012155
87154.314997 9.117839 0.787477 -4.002968
87154.319941 9.144149 0.768827 -3.996196
87154.324854 9.171439 0.735601 -3.981036
87154.329767 9.161903 0.699870 -3.985597
87154.334711 9.149198 0.665133 -3.993171
87154.339838 9.142243 0.642962 -3.989277
87154.344690 9.171220 0.620046 -4.028876
87154.349543 9.149769 0.621963 -3.999974
87154.354456 9.175104 0.644216 -3.968791
87154.359400 9.182810 0.625298 -3.979493
87154.364344 9.165424 0.634250 -3.949899
87154.369287 9.148801 0.632585 -3.923744
87154.374201 9.155066 0.615385 -3.890215
87154.379145 9.163008 0.619728 -3.883424
87154.384089 9.177128 0.633479 -3.885083
87154.389002 9.174241 0.596588 -3.831704
87154.393946 9.185766 0.592168 -3.843970
87154.398890 9.168148 0.555940 -3.839162
87154.403833 9.189201 0.543466 -3.804081
87154.408808 9.197037 0.555891 -3.813513
87154.413752 9.191893 0.546765 -3.812987
87154.418695 9.224951 0.519873 -3.802107
87154.423639 9.222527 0.495924 -3.799197
87154.428583 9.232789 0.509017 -3.795973
87154.433374 9.244026 0.536823 -3.834143
87154.438410 9.240912 0.534001 -3.817211
87154.443262 9.201391 0.553308 -3.814884
87154.448267 9.236018 0.597720 -3.857755
87154.453241 9.230382 0.560402 -3.846885
87154.458185 9.180692 0.596512 -3.882514
87154.463129 9.186769 0.631858 -3.926869
87154.468073 9.171845 0.602929 -3.964492
87154.473017 9.190069 0.567838 -3.958224
87154.477930 9.250103 0.546485 -3.961742
87154.482874 9.217020 0.558241 -3.969031
87154.487818 9.155715 0.528392 -3.970217
87154.492762 9.156946 0.564064 -3.971375
87154.497705 9.111030 0.591274 -3.957398
87154.502649 9.110395 0.610408 -3.979584
87154.507563 9.101582 0.622173 -4.008164
87154.512506 9.122323 0.627708 -4.004549
87154.517450 9.150889 0.657229 -4.017497
87154.522364 9.170695 0.698852 -3.996968
87154.527155 9.189545 0.707677 -3.953724
87154.532160 9.195456 0.676248 -3.970606
87154.537134 9.146081 0.646561 -3.975498
87154.542078 9.115117 0.692080 -3.977530
87154.547022 9.154971 0.672170 -3.988449
87154.551966 9.163048 0.690055 -3.983049
87154.556940 9.174123 0.705345 -3.979050
87154.561884 9.196391 0.674594 -3.960614
87154.566828 9.227572 0.656969 -3.975164
87154.571772 9.192445 0.653483 -3.979459
87154.576685 9.136688 0.627640 -3.945673
87154.581629 9.113382 0.614660 -3.961343
87154.586573 9.051841 0.639775 -3.973342
87154.591516 9.047728 0.636667 -4.007550
87154.596460 9.042956 0.604771 -4.031088
87154.601404 9.031407 0.626105 -4.041783
87154.606348 9.070125 0.637140 -4.046995
87154.611261 9.042789 0.643653 -4.050144
87154.616205 9.043994 0.685324 -4.057286
87154.621149 9.040854 0.700031 -4.067857
87154.626245 9.048845 0.727130 -4.037846
87154.631098 9.039985 0.755871 -4.068648
87154.635981 9.006603 0.778298 -4.080542
87154.641016 9.023299 0.783911 -4.080916
87154.645868 9.007417 0.777929 -4.053452
87154.650782 9.012302 0.794925 -4.092343
